  Time                 , V(3)                 
  1.600000000000e-09  ,0.000000000000e+00  
  3.200000000000e-09  ,0.000000000000e+00  
  6.400024366379e-09  ,0.000000000000e+00  
  1.280007309914e-08  ,0.000000000000e+00  
  2.560017056465e-08  ,0.000000000000e+00  
  5.120036549568e-08  ,0.000000000000e+00  
  1.024007553577e-07  ,0.000000000000e+00  
  2.048015350819e-07  ,0.000000000000e+00  
  3.648042435169e-07  ,0.000000000000e+00  
  5.248069519520e-07  ,0.000000000000e+00  
  6.848096603870e-07  ,0.000000000000e+00  
  8.448123688221e-07  ,0.000000000000e+00  
  9.745120758533e-07  ,0.000000000000e+00  
  9.770608682680e-07  ,0.000000000000e+00  
  9.821585555124e-07  ,0.000000000000e+00  
  9.923539300013e-07  ,0.000000000000e+00  
  1.000000000016e-06  ,8.000014722347e-02  
  1.000000000114e-06  ,5.720002651215e-01  
  1.000000000311e-06  ,1.555991053581e+00  
  1.000000000705e-06  ,3.523972511292e+00  
  1.000000001016e-06  ,5.000000000000e+00  
  1.000000001017e-06  ,5.000000000000e+00  
  1.000000001020e-06  ,5.000000000000e+00  
  1.000000001025e-06  ,5.000000000000e+00  
  1.000000001034e-06  ,5.000000000000e+00  
  1.000000001054e-06  ,5.000000000000e+00  
  1.000000001093e-06  ,5.000000000000e+00  
  1.000000001172e-06  ,5.000000000000e+00  
  1.000000001330e-06  ,5.000000000000e+00  
  1.000000001644e-06  ,5.000000000000e+00  
  1.000000002274e-06  ,5.000000000000e+00  
  1.000000003534e-06  ,5.000000000000e+00  
  1.000000006053e-06  ,5.000000000000e+00  
  1.000000011090e-06  ,5.000000000000e+00  
  1.000000021166e-06  ,5.000000000000e+00  
  1.000000041317e-06  ,5.000000000000e+00  
  1.000000081619e-06  ,5.000000000000e+00  
  1.000000162223e-06  ,5.000000000000e+00  
  1.000000323431e-06  ,5.000000000000e+00  
  1.000000645847e-06  ,5.000000000000e+00  
  1.000001290678e-06  ,5.000000000000e+00  
  1.000002580342e-06  ,5.000000000000e+00  
  1.000005159669e-06  ,5.000000000000e+00  
  1.000010318323e-06  ,5.000000000000e+00  
  1.000020635631e-06  ,5.000000000000e+00  
  1.000041270246e-06  ,5.000000000000e+00  
  1.000082539478e-06  ,5.000000000000e+00  
  1.000165077941e-06  ,5.000000000000e+00  
  1.000330154867e-06  ,5.000000000000e+00  
  1.000660308720e-06  ,5.000000000000e+00  
  1.001320616426e-06  ,5.000000000000e+00  
  1.002641231836e-06  ,5.000000000000e+00  
  1.005282462658e-06  ,5.000000000000e+00  
  1.010564924301e-06  ,5.000000000000e+00  
  1.015945733608e-06  ,5.000000000000e+00  
  1.023454428734e-06  ,5.000000000000e+00  
  1.032363833012e-06  ,5.000000000000e+00  
  1.050182641567e-06  ,5.000000000000e+00  
  1.085820258678e-06  ,5.000000000000e+00  
  1.157095492901e-06  ,5.000000000000e+00  
  1.283433497967e-06  ,5.000000000000e+00  
  1.299383700909e-06  ,5.000000000000e+00  
  1.331284106793e-06  ,5.000000000000e+00  
  1.395084918560e-06  ,5.000000000000e+00  
  1.487937034191e-06  ,5.000000000000e+00  
  1.647939742626e-06  ,5.000000000000e+00  
  1.807942451061e-06  ,5.000000000000e+00  
  1.967945159496e-06  ,5.000000000000e+00  
  2.127947867931e-06  ,5.000000000000e+00  
  2.287950576366e-06  ,5.000000000000e+00  
  2.447953284802e-06  ,5.000000000000e+00  
  2.607955993237e-06  ,5.000000000000e+00  
  2.767958701672e-06  ,5.000000000000e+00  
  2.927961410107e-06  ,5.000000000000e+00  
  3.087964118542e-06  ,5.000000000000e+00  
  3.247966826977e-06  ,5.000000000000e+00  
  3.407969535412e-06  ,5.000000000000e+00  
  3.567972243847e-06  ,5.000000000000e+00  
  3.727974952282e-06  ,5.000000000000e+00  
  3.887977660717e-06  ,5.000000000000e+00  
  4.047980369152e-06  ,5.000000000000e+00  
  4.207983077587e-06  ,5.000000000000e+00  
  4.367985786022e-06  ,5.000000000000e+00  
  4.527988494457e-06  ,5.000000000000e+00  
  4.687991202892e-06  ,5.000000000000e+00  
  4.847993911327e-06  ,5.000000000000e+00  
  5.007996619762e-06  ,5.000000000000e+00  
  5.167999328198e-06  ,5.000000000000e+00  
  5.328002036633e-06  ,5.000000000000e+00  
  5.488004745068e-06  ,5.000000000000e+00  
  5.648007453503e-06  ,5.000000000000e+00  
  5.808010161938e-06  ,5.000000000000e+00  
  5.968012870373e-06  ,5.000000000000e+00  
  6.000000001002e-06  ,4.990000724792e+00  
  6.000000001102e-06  ,4.491001129150e+00  
  6.000000001301e-06  ,3.493022918701e+00  
  6.000000001701e-06  ,1.497066736221e+00  
  6.000000002002e-06  ,0.000000000000e+00  
  6.000000002082e-06  ,0.000000000000e+00  
  6.000000002242e-06  ,0.000000000000e+00  
  6.000000002561e-06  ,0.000000000000e+00  
  6.000000003200e-06  ,0.000000000000e+00  
  6.000000004477e-06  ,0.000000000000e+00  
  6.000000007032e-06  ,0.000000000000e+00  
  6.000000012141e-06  ,0.000000000000e+00  
  6.000000022360e-06  ,0.000000000000e+00  
  6.000000042798e-06  ,0.000000000000e+00  
  6.000000083674e-06  ,0.000000000000e+00  
  6.000000165427e-06  ,0.000000000000e+00  
  6.000000328931e-06  ,0.000000000000e+00  
  6.000000655940e-06  ,0.000000000000e+00  
  6.000001309957e-06  ,0.000000000000e+00  
  6.000002617993e-06  ,0.000000000000e+00  
  6.000005234063e-06  ,0.000000000000e+00  
  6.000010466204e-06  ,0.000000000000e+00  
  6.000020930487e-06  ,0.000000000000e+00  
  6.000041859051e-06  ,0.000000000000e+00  
  6.000083716180e-06  ,0.000000000000e+00  
  6.000167430438e-06  ,0.000000000000e+00  
  6.000334858954e-06  ,0.000000000000e+00  
  6.000669715986e-06  ,0.000000000000e+00  
  6.001339430049e-06  ,0.000000000000e+00  
  6.002678858176e-06  ,0.000000000000e+00  
  6.005357714429e-06  ,0.000000000000e+00  
  6.010715426937e-06  ,0.000000000000e+00  
  6.021430851951e-06  ,0.000000000000e+00  
  6.035506488815e-06  ,0.000000000000e+00  
  6.050807001129e-06  ,0.000000000000e+00  
  6.070545079246e-06  ,0.000000000000e+00  
  6.100842120185e-06  ,0.000000000000e+00  
  6.158455969825e-06  ,0.000000000000e+00  
  6.273683669105e-06  ,0.000000000000e+00  
  6.433686377540e-06  ,0.000000000000e+00  
  6.593689085975e-06  ,0.000000000000e+00  
  6.753691794410e-06  ,0.000000000000e+00  
  6.913694502845e-06  ,0.000000000000e+00  
  7.073697211280e-06  ,0.000000000000e+00  
  7.189628245369e-06  ,0.000000000000e+00  
  7.231119038597e-06  ,0.000000000000e+00  
  7.303789021507e-06  ,0.000000000000e+00  
  7.425191761985e-06  ,0.000000000000e+00  
  7.557442547813e-06  ,0.000000000000e+00  
  7.693150403038e-06  ,0.000000000000e+00  
  7.786550881401e-06  ,0.000000000000e+00  
  7.898893715873e-06  ,0.000000000000e+00  
  8.000000000000e-06  ,0.000000000000e+00  
